,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
0,0,-0.564790957384149,0.14616601287001824,2024-05-16 07:21:23.099827,2024-05-16 07:21:25.829454,0 days 00:00:02.729627,45,0.17729033005798212,0,COMPLETE
1,1,-5.067728751254428,0.2620399542784886,2024-05-16 07:21:25.830965,2024-05-16 07:21:26.693770,0 days 00:00:00.862805,26,0.12090870443198509,0,COMPLETE
2,2,-1.4951410873391802,0.1790290582952312,2024-05-16 07:21:26.696697,2024-05-16 07:21:28.599679,0 days 00:00:01.902982,67,0.3094563354881841,0,COMPLETE
3,3,-1.679451783501109,0.18442618246871004,2024-05-16 07:21:28.600768,2024-05-16 07:21:30.523506,0 days 00:00:01.922738,69,0.18471547589745274,0,COMPLETE
4,4,-1.5764297208781222,0.1690234104909843,2024-05-16 07:21:30.530239,2024-05-16 07:21:32.142741,0 days 00:00:01.612502,35,0.26552277126970303,0,COMPLETE
5,5,-1.9563676598052844,0.2087055348447317,2024-05-16 07:21:32.144963,2024-05-16 07:21:33.737631,0 days 00:00:01.592668,27,0.3301205948159256,0,COMPLETE
6,6,-0.03297088730966109,0.10671115306265729,2024-05-16 07:21:33.739755,2024-05-16 07:21:36.371915,0 days 00:00:02.632160,35,0.5509864773795611,0,COMPLETE
7,7,-0.40351501665124345,0.13874130148881683,2024-05-16 07:21:36.377412,2024-05-16 07:21:38.554179,0 days 00:00:02.176767,13,0.9639382924056547,0,COMPLETE
8,8,-0.3360220895371612,0.13146025092833163,2024-05-16 07:21:38.564505,2024-05-16 07:21:40.836500,0 days 00:00:02.271995,61,0.2604085114239536,0,COMPLETE
9,9,-1.1196431136153877,0.17662165709756275,2024-05-16 07:21:40.838462,2024-05-16 07:21:41.465672,0 days 00:00:00.627210,35,0.11022657972712635,0,COMPLETE
10,10,-2.358253740391686,0.17303385140609925,2024-05-16 07:21:41.466727,2024-05-16 07:21:44.603649,0 days 00:00:03.136922,50,0.47001181556365146,0,COMPLETE
11,11,-0.2607795527490084,0.12622742680517385,2024-05-16 07:21:44.605048,2024-05-16 07:21:46.522320,0 days 00:00:01.917272,43,0.5388669456767294,0,COMPLETE
12,12,-0.052035610634463624,0.11725782171352146,2024-05-16 07:21:46.526179,2024-05-16 07:21:48.808709,0 days 00:00:02.282530,16,0.790701748676197,0,COMPLETE
13,13,0.11895689587156646,0.1099037375270101,2024-05-16 07:21:48.812524,2024-05-16 07:21:51.629716,0 days 00:00:02.817192,71,0.6695414789550771,0,COMPLETE
14,14,-2.003280452949099,0.19721633780801426,2024-05-16 07:21:51.631710,2024-05-16 07:21:52.976591,0 days 00:00:01.344881,39,0.043663764109656555,0,COMPLETE
15,15,-0.6110141437265758,0.13438203104372012,2024-05-16 07:21:52.978663,2024-05-16 07:21:55.529983,0 days 00:00:02.551320,65,0.49864556237875957,0,COMPLETE
16,16,0.20299097343455555,0.1032956504270192,2024-05-16 07:21:55.536656,2024-05-16 07:21:58.544343,0 days 00:00:03.007687,97,0.8286852243817374,0,COMPLETE
17,17,-0.9167221245860556,0.16046684792115906,2024-05-16 07:21:58.545613,2024-05-16 07:22:01.345082,0 days 00:00:02.799469,100,0.2340451717865354,0,COMPLETE
18,18,-1.2895399974310098,0.18305163593253398,2024-05-16 07:22:01.348987,2024-05-16 07:22:02.051233,0 days 00:00:00.702246,34,0.15895698771546074,0,COMPLETE
19,19,-0.3954240611910008,0.1378142698348443,2024-05-16 07:22:02.052231,2024-05-16 07:22:04.441175,0 days 00:00:02.388944,45,0.36481452400409264,0,COMPLETE
