,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
0,0,-0.8157508699138099,0.006769338266038705,2024-05-18 14:18:19.310682,2024-05-18 14:18:23.583693,0 days 00:00:04.273011,904,0.3806167664818264,0,COMPLETE
1,1,-0.34912979805959826,0.005933903899396661,2024-05-18 14:18:23.584618,2024-05-18 14:18:27.632658,0 days 00:00:04.048040,838,0.5855621864660694,0,COMPLETE
2,2,-1.0605667758502864,0.007134322161571421,2024-05-18 14:18:27.633655,2024-05-18 14:18:29.988736,0 days 00:00:02.355081,503,0.1817746338169799,0,COMPLETE
3,3,-0.5186648377333016,0.0063063535209949865,2024-05-18 14:18:29.988736,2024-05-18 14:18:31.701896,0 days 00:00:01.713160,262,0.5855424515326731,0,COMPLETE
4,4,-0.3808560368882955,0.005898779439765913,2024-05-18 14:18:31.701896,2024-05-18 14:18:33.218467,0 days 00:00:01.516571,108,0.4742136325432218,0,COMPLETE
5,5,-0.7135888612118448,0.0066298527793391595,2024-05-18 14:18:33.218467,2024-05-18 14:18:36.135469,0 days 00:00:02.917002,563,0.8781894272036838,0,COMPLETE
6,6,-6.003137099502824,0.011812711019813437,2024-05-18 14:18:36.136465,2024-05-18 14:18:40.527289,0 days 00:00:04.390824,931,0.9868887373353553,0,COMPLETE
7,7,-0.7282522063574112,0.0066572974391926176,2024-05-18 14:18:40.527289,2024-05-18 14:18:41.999860,0 days 00:00:01.472571,114,0.020640712087991453,0,COMPLETE
8,8,-0.3533503382908635,0.00584054755103205,2024-05-18 14:18:41.999860,2024-05-18 14:18:46.166488,0 days 00:00:04.166628,971,0.30814854003418424,0,COMPLETE
9,9,-1.0801613267066208,0.007334254063985142,2024-05-18 14:18:46.166488,2024-05-18 14:18:50.161585,0 days 00:00:03.995097,756,0.09068476634933054,0,COMPLETE
10,10,-0.1718772912413093,0.00550313529742677,2024-05-18 14:18:50.177699,2024-05-18 14:18:54.804002,0 days 00:00:04.626303,830,0.18256734443596623,0,COMPLETE
11,11,-0.27999501905680363,0.005658846798325784,2024-05-18 14:18:54.804002,2024-05-18 14:18:59.048048,0 days 00:00:04.244046,816,0.7087737942871889,0,COMPLETE
12,12,-0.5190307450879754,0.006084369700279814,2024-05-18 14:18:59.049045,2024-05-18 14:19:00.740243,0 days 00:00:01.691198,151,0.49093197066078587,0,COMPLETE
13,13,-0.6965321780227557,0.006530435729093229,2024-05-18 14:19:00.755867,2024-05-18 14:19:02.165195,0 days 00:00:01.409328,143,0.7802179787749071,0,COMPLETE
14,14,-1.2321064581647607,0.00756043131651171,2024-05-18 14:19:02.165195,2024-05-18 14:19:04.171903,0 days 00:00:02.006708,502,0.9695508119995737,0,COMPLETE
15,15,-0.7282175601014108,0.006800298478935508,2024-05-18 14:19:04.171903,2024-05-18 14:19:07.690488,0 days 00:00:03.518585,820,0.6651026461018491,0,COMPLETE
16,16,-1.0666606870005664,0.007170834367246272,2024-05-18 14:19:07.690488,2024-05-18 14:19:09.094458,0 days 00:00:01.403970,70,0.7328904979720308,0,COMPLETE
17,17,-1.5217194115420232,0.00829194970309061,2024-05-18 14:19:09.095456,2024-05-18 14:19:10.512386,0 days 00:00:01.416930,82,0.9904317049640421,0,COMPLETE
18,18,-0.5856863508624159,0.006462858109154826,2024-05-18 14:19:10.512386,2024-05-18 14:19:12.430787,0 days 00:00:01.918401,388,0.33656504549959676,0,COMPLETE
19,19,-0.5653122270100608,0.006354418505835678,2024-05-18 14:19:12.430787,2024-05-18 14:19:14.884314,0 days 00:00:02.453527,491,0.2918828983750009,0,COMPLETE
20,20,-0.4736895512478002,0.006250367312441161,2024-05-18 14:19:14.886309,2024-05-18 14:19:17.367264,0 days 00:00:02.480955,541,0.11771775250659611,0,COMPLETE
21,21,-0.3618278071127219,0.005770580655165959,2024-05-18 14:19:17.368261,2024-05-18 14:19:21.210925,0 days 00:00:03.842664,755,0.24354151002426194,0,COMPLETE
22,22,-0.5667277403800484,0.00632391750167465,2024-05-18 14:19:21.211920,2024-05-18 14:19:23.332866,0 days 00:00:02.120946,384,0.29675967872466025,0,COMPLETE
23,23,-0.52948705249677,0.00628072150763862,2024-05-18 14:19:23.333863,2024-05-18 14:19:25.745233,0 days 00:00:02.411370,493,0.5043092791493061,0,COMPLETE
24,24,-1.001076625135307,0.007013503338603117,2024-05-18 14:19:25.745233,2024-05-18 14:19:27.462317,0 days 00:00:01.717084,175,0.2994836706828595,0,COMPLETE
25,25,-1.099725047578375,0.007390669403349667,2024-05-18 14:19:27.462317,2024-05-18 14:19:29.628123,0 days 00:00:02.165806,327,0.6503065258477447,0,COMPLETE
26,26,-0.6481386752991541,0.006468138917387403,2024-05-18 14:19:29.628123,2024-05-18 14:19:33.152413,0 days 00:00:03.524290,671,0.26949217573722295,0,COMPLETE
27,27,-0.6646711782308529,0.006471112099840898,2024-05-18 14:19:33.152413,2024-05-18 14:19:34.989586,0 days 00:00:01.837173,214,0.8530562387300964,0,COMPLETE
28,28,-0.7839534185478247,0.00676896805389655,2024-05-18 14:19:34.989586,2024-05-18 14:19:37.606906,0 days 00:00:02.617320,545,0.6276348053673555,0,COMPLETE
29,29,-0.8164696697905182,0.006801632114639207,2024-05-18 14:19:37.606906,2024-05-18 14:19:42.372707,0 days 00:00:04.765801,972,0.3227736767326653,0,COMPLETE
30,30,-0.7285622677010604,0.006761883874028797,2024-05-18 14:19:42.374705,2024-05-18 14:19:43.878764,0 days 00:00:01.504059,20,0.7403099138842697,0,COMPLETE
31,31,-0.4932733826883253,0.006198188436445117,2024-05-18 14:19:43.879761,2024-05-18 14:19:45.916516,0 days 00:00:02.036755,340,0.5643303474407816,0,COMPLETE
32,32,-0.7400811615911632,0.006736162074690728,2024-05-18 14:19:45.917513,2024-05-18 14:19:48.465598,0 days 00:00:02.548085,620,0.08609581382580378,0,COMPLETE
33,33,-0.6134005041943074,0.006476526948958653,2024-05-18 14:19:48.465598,2024-05-18 14:19:53.492463,0 days 00:00:05.026865,985,0.330357000861347,0,COMPLETE
34,34,-0.3814744512684143,0.005936741594998105,2024-05-18 14:19:53.493461,2024-05-18 14:19:58.336564,0 days 00:00:04.843103,918,0.6118701562765668,0,COMPLETE
35,35,-0.8766002847271016,0.007033496879549507,2024-05-18 14:19:58.338518,2024-05-18 14:20:00.852212,0 days 00:00:02.513694,574,0.6161608553742852,0,COMPLETE
36,36,-0.6833718757172216,0.006384494039567662,2024-05-18 14:20:00.853210,2024-05-18 14:20:04.785754,0 days 00:00:03.932544,734,0.4628518581193898,0,COMPLETE
37,37,-0.9456291159206744,0.006991641656668673,2024-05-18 14:20:04.786749,2024-05-18 14:20:07.275362,0 days 00:00:02.488613,457,0.5555049942541929,0,COMPLETE
38,38,-1.0053556352058723,0.007130795325166842,2024-05-18 14:20:07.275362,2024-05-18 14:20:09.392101,0 days 00:00:02.116739,244,0.1897965120599433,0,COMPLETE
39,39,-0.6572985997580203,0.0066314306530701524,2024-05-18 14:20:09.392640,2024-05-18 14:20:11.958458,0 days 00:00:02.565818,404,0.27379101105617243,0,COMPLETE
40,40,-1.3062693705086816,0.007553258576776809,2024-05-18 14:20:11.958458,2024-05-18 14:20:14.108795,0 days 00:00:02.150337,314,0.34539448589430766,0,COMPLETE
41,41,-0.2824079640723834,0.00575691599684552,2024-05-18 14:20:14.108795,2024-05-18 14:20:16.289853,0 days 00:00:02.181058,378,0.17260011238648731,0,COMPLETE
42,42,-0.6365641023139371,0.006513409673740078,2024-05-18 14:20:16.289853,2024-05-18 14:20:20.038564,0 days 00:00:03.748711,701,0.34453022727376603,0,COMPLETE
43,43,-0.7264622656995918,0.006652772791850735,2024-05-18 14:20:20.038564,2024-05-18 14:20:22.616997,0 days 00:00:02.578433,537,0.6542779406987147,0,COMPLETE
44,44,-0.5902624795612532,0.006346899423017367,2024-05-18 14:20:22.617993,2024-05-18 14:20:27.114674,0 days 00:00:04.496681,994,0.2335881470645247,0,COMPLETE
45,45,-0.4750051364997633,0.0060762647936814735,2024-05-18 14:20:27.114674,2024-05-18 14:20:29.594253,0 days 00:00:02.479579,374,0.10395212175195867,0,COMPLETE
46,46,-1.2521789408329989,0.0076092808622849175,2024-05-18 14:20:29.595250,2024-05-18 14:20:31.353240,0 days 00:00:01.757990,166,0.4332768441827871,0,COMPLETE
47,47,-0.602530154100247,0.006476535755455442,2024-05-18 14:20:31.353240,2024-05-18 14:20:32.979743,0 days 00:00:01.626503,199,0.3150393675610824,0,COMPLETE
48,48,-3.163206986850029,0.010713937331572537,2024-05-18 14:20:32.995365,2024-05-18 14:20:34.877160,0 days 00:00:01.881795,339,0.002032925054384793,0,COMPLETE
49,49,-0.7263332670596127,0.0065660969708003615,2024-05-18 14:20:34.878158,2024-05-18 14:20:37.188009,0 days 00:00:02.309851,548,0.3732818281674647,0,COMPLETE
50,50,-0.44934866925853906,0.006147443335249621,2024-05-18 14:20:37.189006,2024-05-18 14:20:39.337112,0 days 00:00:02.148106,378,0.49093197066078587,1,COMPLETE
51,51,-2.1850363921794043,0.008543764091253063,2024-05-18 14:20:39.338110,2024-05-18 14:20:43.142523,0 days 00:00:03.804413,765,0.4004455373320944,1,COMPLETE
52,52,-0.5391494111603571,0.006368603190496915,2024-05-18 14:20:43.142523,2024-05-18 14:20:44.700887,0 days 00:00:01.558364,146,0.38485467982070565,1,COMPLETE
53,53,-0.9098029458604986,0.006888483679339965,2024-05-18 14:20:44.700887,2024-05-18 14:20:48.744774,0 days 00:00:04.043887,816,0.5334634907125606,1,COMPLETE
54,54,-0.47681707260125206,0.00622063804277123,2024-05-18 14:20:48.744774,2024-05-18 14:20:53.782137,0 days 00:00:05.037363,994,0.06195278710940644,1,COMPLETE
55,55,-0.6220333075527759,0.006397477567308412,2024-05-18 14:20:53.797757,2024-05-18 14:20:58.498855,0 days 00:00:04.701098,994,0.22525304824869896,1,COMPLETE
56,56,-1.4857352921105746,0.008500898703796719,2024-05-18 14:20:58.514476,2024-05-18 14:21:00.090569,0 days 00:00:01.576093,4,0.5325987885860738,1,COMPLETE
57,57,-0.2683872603313489,0.005758735210309911,2024-05-18 14:21:00.090569,2024-05-18 14:21:02.120819,0 days 00:00:02.030250,244,0.1897965120599433,1,COMPLETE
