,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,params_use_boxcox,system_attrs_nsga2:generation,state
0,0,0.29132285765330745,0.10007669202051543,2024-05-16 08:16:52.520739,2024-05-16 08:16:55.681768,0 days 00:00:03.161029,89,0.7142018300296177,0.6895785432889812,False,0,COMPLETE
1,1,0.2987510366389168,0.09677096086741405,2024-05-16 08:16:55.686771,2024-05-16 08:16:59.219928,0 days 00:00:03.533157,52,0.6895489805070489,0.9483548979403488,False,0,COMPLETE
2,2,-15.246899316395409,0.2737954826632133,2024-05-16 08:16:59.243198,2024-05-16 08:17:00.902750,0 days 00:00:01.659552,18,0.5308368543969153,0.709689926186269,False,0,COMPLETE
3,3,-1.834453279757593,0.19774145069591476,2024-05-16 08:17:00.910156,2024-05-16 08:17:02.049905,0 days 00:00:01.139749,31,0.4721314464817692,0.25378636556175316,False,0,COMPLETE
4,4,-0.7822225783920228,0.15310930875585985,2024-05-16 08:17:02.050903,2024-05-16 08:17:03.715878,0 days 00:00:01.664975,31,0.37987866377040946,0.08100163139857519,True,0,COMPLETE
5,5,-1.2796067683222092,0.1682192707117231,2024-05-16 08:17:03.716875,2024-05-16 08:17:05.469367,0 days 00:00:01.752492,11,0.9316418254149386,0.017868853211146285,False,0,COMPLETE
6,6,-0.9095013894677259,0.15171688054853294,2024-05-16 08:17:05.471220,2024-05-16 08:17:07.233782,0 days 00:00:01.762562,54,0.9379778720689776,0.22974777052238038,True,0,COMPLETE
7,7,-0.8188967261219752,0.1464782559629667,2024-05-16 08:17:07.235186,2024-05-16 08:17:09.099934,0 days 00:00:01.864748,44,0.15282619140212428,0.8089146607530269,True,0,COMPLETE
8,8,-0.3943842535751738,0.13102664514129503,2024-05-16 08:17:09.105574,2024-05-16 08:17:11.067535,0 days 00:00:01.961961,34,0.3156612228605098,0.7062916286405434,True,0,COMPLETE
9,9,0.1597990223733976,0.1075216806524449,2024-05-16 08:17:11.069530,2024-05-16 08:17:13.339668,0 days 00:00:02.270138,55,0.8783739866129597,0.2819897643609519,True,0,COMPLETE
10,10,-1.0114638034686252,0.17300983409368884,2024-05-16 08:17:13.341536,2024-05-16 08:17:15.015792,0 days 00:00:01.674256,77,0.8961890436229181,0.6784959388304638,True,0,COMPLETE
11,11,0.0019022220981759874,0.11528174079562996,2024-05-16 08:17:15.016790,2024-05-16 08:17:18.563752,0 days 00:00:03.546962,80,0.9299615356649236,0.7584878539858644,False,0,COMPLETE
12,12,0.3096169725353306,0.09518169844460707,2024-05-16 08:17:18.564723,2024-05-16 08:17:20.891862,0 days 00:00:02.327139,31,0.9745573768214442,0.3431529615843193,False,0,COMPLETE
13,13,0.5570670861837823,0.07784389810677139,2024-05-16 08:17:20.893020,2024-05-16 08:17:23.448716,0 days 00:00:02.555696,58,0.7949874873712804,0.43776005475302393,False,0,COMPLETE
14,14,-0.2404990870520906,0.1300968938698189,2024-05-16 08:17:23.450885,2024-05-16 08:17:25.662214,0 days 00:00:02.211329,70,0.5769768960533889,0.5700474967529738,False,0,COMPLETE
