,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
0,0,-0.3247016745364716,0.005869712881086381,2024-05-18 17:01:50.614138,2024-05-18 17:01:54.973711,0 days 00:00:04.359573,932,0.9938158478075421,0.14025622568840745,0,COMPLETE
1,1,-0.697254715867678,0.006474453193321172,2024-05-18 17:01:54.974699,2024-05-18 17:01:56.706276,0 days 00:00:01.731577,188,0.5523342775336312,0.2967159676093998,0,COMPLETE
2,2,-1.7795070870737022,0.008395325535678348,2024-05-18 17:01:56.707275,2024-05-18 17:02:00.808476,0 days 00:00:04.101201,963,0.7152838931741237,0.38915820469914,0,COMPLETE
3,3,-0.5175667463470173,0.006194478947207467,2024-05-18 17:02:00.810433,2024-05-18 17:02:02.085533,0 days 00:00:01.275100,9,0.09193892345711163,0.5870991179179087,0,COMPLETE
4,4,-1.1111119250769186,0.007350348309201315,2024-05-18 17:02:02.087527,2024-05-18 17:02:05.765893,0 days 00:00:03.678366,812,0.36531728775607475,0.4126726928705424,0,COMPLETE
5,5,-0.5198175326579848,0.006230445169111528,2024-05-18 17:02:05.767888,2024-05-18 17:02:08.208149,0 days 00:00:02.440261,616,0.8723739167002719,0.7249186449723967,0,COMPLETE
6,6,-0.8361880116492572,0.007044182276717693,2024-05-18 17:02:08.209146,2024-05-18 17:02:12.084877,0 days 00:00:03.875731,805,0.948984113561581,0.6670405134632346,0,COMPLETE
7,7,-0.35332610395405734,0.005878043161832049,2024-05-18 17:02:12.084877,2024-05-18 17:02:16.012982,0 days 00:00:03.928105,865,0.6741721442127685,0.5513282541379884,0,COMPLETE
8,8,-0.8837314421420078,0.007001401914670943,2024-05-18 17:02:16.012982,2024-05-18 17:02:18.237054,0 days 00:00:02.224072,512,0.726740271625143,0.11678898408643301,0,COMPLETE
9,9,-1.4707938250374872,0.008098626331622038,2024-05-18 17:02:18.245050,2024-05-18 17:02:19.708343,0 days 00:00:01.463293,148,0.6590506478223298,0.8489953750565759,0,COMPLETE
10,10,-1.0061166610654504,0.007094039894757165,2024-05-18 17:02:19.708343,2024-05-18 17:02:21.570749,0 days 00:00:01.862406,304,0.7233493308766243,0.4233264715398526,0,COMPLETE
11,11,-0.8311732324311116,0.006744912468551231,2024-05-18 17:02:21.570749,2024-05-18 17:02:23.079562,0 days 00:00:01.508813,103,0.45441480556664293,0.7129204089790377,0,COMPLETE
12,12,-0.9089156364648678,0.007007320097725797,2024-05-18 17:02:23.079562,2024-05-18 17:02:24.585475,0 days 00:00:01.505913,102,0.15280230271779394,0.1705926646521,0,COMPLETE
13,13,-0.9444248841783563,0.007048822709050469,2024-05-18 17:02:24.585475,2024-05-18 17:02:26.017908,0 days 00:00:01.432433,98,0.14253636249610857,0.8885591319841504,0,COMPLETE
14,14,-1.242558394496376,0.007672675098740503,2024-05-18 17:02:26.017908,2024-05-18 17:02:28.275077,0 days 00:00:02.257169,505,0.5574286993955156,0.3815007744871298,0,COMPLETE
15,15,-0.7060936313375098,0.0064911655813119735,2024-05-18 17:02:28.275077,2024-05-18 17:02:30.519703,0 days 00:00:02.244626,513,0.5170676549084444,0.006771048610423436,0,COMPLETE
16,16,-0.9392103306692465,0.007143361491208244,2024-05-18 17:02:30.519703,2024-05-18 17:02:34.987334,0 days 00:00:04.467631,995,0.46216043427200537,0.18817535566594912,0,COMPLETE
17,17,-1.0677161153165795,0.0073543282773847335,2024-05-18 17:02:34.989329,2024-05-18 17:02:37.008061,0 days 00:00:02.018732,370,0.3058834596972376,0.2163628212680191,0,COMPLETE
18,18,-0.22267701403236,0.005664814995513988,2024-05-18 17:02:37.008061,2024-05-18 17:02:39.317541,0 days 00:00:02.309480,448,0.9016349801114897,0.2912480994604083,0,COMPLETE
19,19,-1.4188166584493338,0.008085433310599719,2024-05-18 17:02:39.318539,2024-05-18 17:02:41.233904,0 days 00:00:01.915365,246,0.9297844474637325,0.4652374728823728,0,COMPLETE
20,20,-0.33066110117507014,0.0058614362716524985,2024-05-18 17:02:41.235899,2024-05-18 17:02:43.765102,0 days 00:00:02.529203,625,0.7799650199147381,0.60820233532216,0,COMPLETE
21,21,-1.4622014761864797,0.00784897551459083,2024-05-18 17:02:43.767096,2024-05-18 17:02:45.351367,0 days 00:00:01.584271,124,0.21122268396084531,0.747278834004692,0,COMPLETE
22,22,-0.6842300367803733,0.006551766520426665,2024-05-18 17:02:45.352384,2024-05-18 17:02:47.039959,0 days 00:00:01.687575,77,0.20200066503773495,0.03914172937828586,0,COMPLETE
23,23,-0.5170123075437985,0.006283670794603423,2024-05-18 17:02:47.041954,2024-05-18 17:02:48.870686,0 days 00:00:01.828732,198,0.6049106877584202,0.7021480447058368,0,COMPLETE
24,24,-3.0163874721042334,0.009578395284971356,2024-05-18 17:02:48.871684,2024-05-18 17:02:50.332378,0 days 00:00:01.460694,18,0.050633062916786487,0.4664245637727644,0,COMPLETE
25,25,-1.014057329496548,0.007207855295313713,2024-05-18 17:02:50.334368,2024-05-18 17:02:52.268316,0 days 00:00:01.933948,235,0.06674672831297235,0.34116242374825667,0,COMPLETE
26,26,-0.759286826543514,0.006619729243816055,2024-05-18 17:02:52.269296,2024-05-18 17:02:54.319268,0 days 00:00:02.049972,397,0.4040554864095407,0.49412273143514884,0,COMPLETE
27,27,-0.7799641936769219,0.0067697000278160125,2024-05-18 17:02:54.320298,2024-05-18 17:02:56.095026,0 days 00:00:01.774728,184,0.013786778489679463,0.6948053108544144,0,COMPLETE
28,28,-0.5067601391463801,0.006230678842480497,2024-05-18 17:02:56.095026,2024-05-18 17:03:00.737745,0 days 00:00:04.642719,922,0.04367041053946974,0.1390401654120803,0,COMPLETE
29,29,-10.145553050606898,0.013832311514959145,2024-05-18 17:03:00.737745,2024-05-18 17:03:03.003539,0 days 00:00:02.265794,478,0.23361462726011561,0.7969766829236391,0,COMPLETE
30,30,-1.76979304125725,0.00818920369936901,2024-05-18 17:03:03.003539,2024-05-18 17:03:05.065968,0 days 00:00:02.062429,397,0.9634878730328043,0.8273355465391938,0,COMPLETE
31,31,-1.2758549080858255,0.0075046312017170835,2024-05-18 17:03:05.065968,2024-05-18 17:03:07.124678,0 days 00:00:02.058710,360,0.12583790698145825,0.1615263236218345,0,COMPLETE
32,32,-22.835897606653596,0.018218926096772028,2024-05-18 17:03:07.124678,2024-05-18 17:03:10.702093,0 days 00:00:03.577415,692,0.52456175984695,0.672359326771838,0,COMPLETE
33,33,-8.71997209076056,0.012635083143411153,2024-05-18 17:03:10.702093,2024-05-18 17:03:14.881789,0 days 00:00:04.179696,920,0.19039581016783003,0.43363277337068695,0,COMPLETE
34,34,-0.7635379094263467,0.006777777363700319,2024-05-18 17:03:14.881789,2024-05-18 17:03:17.308199,0 days 00:00:02.426410,553,0.10761787771646103,0.9677218145543681,0,COMPLETE
35,35,-1.0954805834818164,0.007325836058786367,2024-05-18 17:03:17.323814,2024-05-18 17:03:20.368972,0 days 00:00:03.045158,574,0.30468753850832364,0.9887584779638126,0,COMPLETE
36,36,-1.1771139641933501,0.007526766450081167,2024-05-18 17:03:20.368972,2024-05-18 17:03:22.140330,0 days 00:00:01.771358,83,0.33311243162322346,0.9560607337455062,0,COMPLETE
37,37,-0.2729961032128719,0.005774936022824408,2024-05-18 17:03:22.141377,2024-05-18 17:03:26.286572,0 days 00:00:04.145195,679,0.1286447614248163,0.3947185068047774,0,COMPLETE
38,38,-0.7759960848771658,0.006865486030210163,2024-05-18 17:03:26.286572,2024-05-18 17:03:30.670389,0 days 00:00:04.383817,777,0.31362618088107863,0.7258346605540001,0,COMPLETE
39,39,-1.053444941926878,0.007396628656146214,2024-05-18 17:03:30.680086,2024-05-18 17:03:32.803845,0 days 00:00:02.123759,228,0.6359708107168425,0.432520593922342,0,COMPLETE
