,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
0,0,-1.050051607557626,0.16052934328511193,2024-05-10 17:45:45.012687,2024-05-10 17:45:48.984183,0 days 00:00:03.971496,24,147,196,0,COMPLETE
1,1,0.2877852875497463,0.09150459225973984,2024-05-10 17:45:48.984183,2024-05-10 17:45:58.387875,0 days 00:00:09.403692,30,23,59,0,COMPLETE
2,2,-0.3217178456898123,0.13014731566772922,2024-05-10 17:45:58.394504,2024-05-10 17:46:03.944206,0 days 00:00:05.549702,38,5,32,0,COMPLETE
3,3,0.04964095032270786,0.1156144955771999,2024-05-10 17:46:03.960863,2024-05-10 17:46:14.025659,0 days 00:00:10.064796,33,131,136,0,COMPLETE
4,4,0.36900062914869675,0.08955142162487209,2024-05-10 17:46:14.030534,2024-05-10 17:46:22.451643,0 days 00:00:08.421109,78,146,203,0,COMPLETE
5,5,0.5829473166097682,0.07235924439665911,2024-05-10 17:46:22.451643,2024-05-10 17:46:31.382067,0 days 00:00:08.930424,50,24,42,0,COMPLETE
6,6,-0.4366724481131329,0.14161166890244536,2024-05-10 17:46:31.382067,2024-05-10 17:46:36.937185,0 days 00:00:05.555118,88,44,66,0,COMPLETE
7,7,-0.7173821408654024,0.15365187329067376,2024-05-10 17:46:36.945233,2024-05-10 17:46:41.051245,0 days 00:00:04.106012,24,76,97,0,COMPLETE
8,8,-9.87635242775048,0.3561163099412244,2024-05-10 17:46:41.060865,2024-05-10 17:46:49.407211,0 days 00:00:08.346346,8,94,96,0,COMPLETE
9,9,0.02885921558629545,0.1155301964996756,2024-05-10 17:46:49.423061,2024-05-10 17:46:56.636472,0 days 00:00:07.213411,37,68,119,0,COMPLETE
10,10,-0.04639080416118526,0.11090724763082005,2024-05-10 17:46:56.636472,2024-05-10 17:47:04.212173,0 days 00:00:07.575701,14,63,97,0,COMPLETE
11,11,-0.03436873635567088,0.11823905753004589,2024-05-10 17:47:04.216437,2024-05-10 17:47:13.095753,0 days 00:00:08.879316,14,170,171,0,COMPLETE
12,12,0.03393657119322706,0.11832845084734293,2024-05-10 17:47:13.095753,2024-05-10 17:47:18.693662,0 days 00:00:05.597909,71,67,110,0,COMPLETE
13,13,0.18459605630927578,0.10579448774610882,2024-05-10 17:47:18.694660,2024-05-10 17:47:27.027166,0 days 00:00:08.332506,87,148,179,0,COMPLETE
14,14,0.17607498253341036,0.10502812926227596,2024-05-10 17:47:27.027166,2024-05-10 17:47:33.836605,0 days 00:00:06.809439,90,44,47,0,COMPLETE
15,15,0.11460022515393813,0.11146525872143118,2024-05-10 17:47:33.836605,2024-05-10 17:47:39.774632,0 days 00:00:05.938027,62,23,26,0,COMPLETE
16,16,-0.00874154012353845,0.1093557349043961,2024-05-10 17:47:39.779085,2024-05-10 17:47:46.800707,0 days 00:00:07.021622,41,26,73,0,COMPLETE
17,17,-0.6975812829275307,0.14276661979727195,2024-05-10 17:47:46.806800,2024-05-10 17:47:57.255528,0 days 00:00:10.448728,17,90,205,0,COMPLETE
18,18,0.19974160389755663,0.08904842924508607,2024-05-10 17:47:57.260106,2024-05-10 17:48:07.017158,0 days 00:00:09.757052,49,22,147,0,COMPLETE
19,19,-4.485478586063606,0.21663390080116943,2024-05-10 17:48:07.041514,2024-05-10 17:48:11.601612,0 days 00:00:04.560098,23,22,107,0,COMPLETE
20,20,-0.7495674049930943,0.1502208493450754,2024-05-10 17:48:11.605313,2024-05-10 17:48:17.311903,0 days 00:00:05.706590,75,2,54,0,COMPLETE
21,21,0.2765112426603641,0.09833758550281634,2024-05-10 17:48:17.311903,2024-05-10 17:48:28.747292,0 days 00:00:11.435389,89,44,71,0,COMPLETE
22,22,0.33410376140335446,0.09041375593565629,2024-05-10 17:48:28.749280,2024-05-10 17:48:43.042787,0 days 00:00:14.293507,36,140,166,0,COMPLETE
23,23,-0.11234967168033752,0.1181070842848323,2024-05-10 17:48:43.049516,2024-05-10 17:48:51.390530,0 days 00:00:08.341014,18,85,141,0,COMPLETE
24,24,-0.4174322947488597,0.13004435464024175,2024-05-10 17:48:51.394518,2024-05-10 17:48:55.521753,0 days 00:00:04.127235,94,143,179,0,COMPLETE
25,25,-0.40051317943329756,0.13242501269946685,2024-05-10 17:48:55.521753,2024-05-10 17:49:04.026930,0 days 00:00:08.505177,51,85,213,0,COMPLETE
26,26,-0.8142993154275835,0.15737571403303582,2024-05-10 17:49:04.032029,2024-05-10 17:49:09.327983,0 days 00:00:05.295954,63,126,128,0,COMPLETE
27,27,-0.34287495924765016,0.1287235946220949,2024-05-10 17:49:09.330382,2024-05-10 17:49:21.360132,0 days 00:00:12.029750,12,161,179,0,COMPLETE
28,28,0.1191759045221072,0.10623917311252133,2024-05-10 17:49:21.369915,2024-05-10 17:49:31.803534,0 days 00:00:10.433619,37,4,10,0,COMPLETE
29,29,0.5085434633901784,0.07794322320061511,2024-05-10 17:49:31.809230,2024-05-10 17:49:47.219294,0 days 00:00:15.410064,58,26,52,0,COMPLETE
30,30,-0.02898911953999077,0.1187331642033062,2024-05-10 17:49:47.226124,2024-05-10 17:49:56.394125,0 days 00:00:09.168001,80,27,210,0,COMPLETE
31,31,-6.9053358748752744,0.30415714916888187,2024-05-10 17:49:56.400305,2024-05-10 17:50:08.510794,0 days 00:00:12.110489,9,22,47,0,COMPLETE
32,32,-0.12890187612383358,0.12592322111891757,2024-05-10 17:50:08.521847,2024-05-10 17:50:18.009210,0 days 00:00:09.487363,56,110,143,0,COMPLETE
33,33,0.05081765867554997,0.11772907025113497,2024-05-10 17:50:18.012494,2024-05-10 17:50:35.530006,0 days 00:00:17.517512,70,149,189,0,COMPLETE
34,34,0.053122706233940754,0.10696431076188391,2024-05-10 17:50:35.537227,2024-05-10 17:50:39.667397,0 days 00:00:04.130170,18,3,5,0,COMPLETE
35,35,-7.844000299794404,0.2663050535551882,2024-05-10 17:50:39.672439,2024-05-10 17:50:46.554641,0 days 00:00:06.882202,5,131,133,0,COMPLETE
36,36,-7.344058597400069,0.29381439427008826,2024-05-10 17:50:46.560010,2024-05-10 17:50:55.405983,0 days 00:00:08.845973,8,23,25,0,COMPLETE
37,37,0.22301104040579442,0.09839408842333648,2024-05-10 17:50:55.414239,2024-05-10 17:51:07.392218,0 days 00:00:11.977979,68,109,183,0,COMPLETE
38,38,0.5218494567584584,0.0732105441057954,2024-05-10 17:51:07.395665,2024-05-10 17:51:20.705389,0 days 00:00:13.309724,41,12,156,0,COMPLETE
39,39,0.057918167750549275,0.11033849397280156,2024-05-10 17:51:20.709398,2024-05-10 17:51:31.176683,0 days 00:00:10.467285,90,47,52,0,COMPLETE
40,40,-0.024298412637217548,0.09998766496031017,2024-05-10 17:51:31.182114,2024-05-10 17:51:38.531035,0 days 00:00:07.348921,47,20,42,0,COMPLETE
41,41,-0.6259197506627119,0.15000685307153683,2024-05-10 17:51:38.536652,2024-05-10 17:51:46.840235,0 days 00:00:08.303583,16,4,35,0,COMPLETE
42,42,-1.0502847113636284,0.1512276546674193,2024-05-10 17:51:46.842274,2024-05-10 17:51:54.074739,0 days 00:00:07.232465,26,34,38,0,COMPLETE
43,43,0.2712421243382849,0.09319016810022683,2024-05-10 17:51:54.080306,2024-05-10 17:52:02.689667,0 days 00:00:08.609361,40,10,93,0,COMPLETE
44,44,0.09591683478169784,0.1098905005266562,2024-05-10 17:52:02.690664,2024-05-10 17:52:12.999140,0 days 00:00:10.308476,95,148,189,0,COMPLETE
45,45,0.027156319766451074,0.11588429798873841,2024-05-10 17:52:12.999140,2024-05-10 17:52:24.679116,0 days 00:00:11.679976,84,26,33,0,COMPLETE
46,46,-0.08077234945201409,0.12211275853206378,2024-05-10 17:52:24.679116,2024-05-10 17:52:32.619593,0 days 00:00:07.940477,55,57,121,0,COMPLETE
