,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_rank,params_window_length,system_attrs_nsga2:generation,state
0,0,-310.07327829098654,0.0003394170643103365,2024-05-16 13:14:03.426370,2024-05-16 13:14:17.214438,0 days 00:00:13.788068,794,66,95,0,COMPLETE
1,1,-1340.6123154806612,0.000537078160373122,2024-05-16 13:14:17.217430,2024-05-16 13:14:31.511028,0 days 00:00:14.293598,775,51,168,0,COMPLETE
2,2,-387.4394391802524,0.0003738377821753137,2024-05-16 13:14:31.515018,2024-05-16 13:14:43.886455,0 days 00:00:12.371437,705,18,81,0,COMPLETE
3,3,-5.845168935170693,5.026537339004919e-05,2024-05-16 13:14:43.889449,2024-05-16 13:14:54.879986,0 days 00:00:10.990537,21,59,111,0,COMPLETE
4,4,-9.010187879273825,5.8886878018073555e-05,2024-05-16 13:14:54.881069,2024-05-16 13:14:58.480879,0 days 00:00:03.599810,23,15,104,0,COMPLETE
5,5,-20.811341707810378,8.923305522227423e-05,2024-05-16 13:14:58.482165,2024-05-16 13:15:04.510737,0 days 00:00:06.028572,191,18,83,0,COMPLETE
6,6,-209.3142821625379,0.00029492785419259296,2024-05-16 13:15:04.511747,2024-05-16 13:15:19.270115,0 days 00:00:14.758368,838,85,151,0,COMPLETE
7,7,-13184.36616599117,0.0016399453178675143,2024-05-16 13:15:19.272976,2024-05-16 13:15:25.425715,0 days 00:00:06.152739,599,36,44,0,COMPLETE
8,8,-945.0388370110793,0.0005596306391072297,2024-05-16 13:15:25.436850,2024-05-16 13:15:33.106198,0 days 00:00:07.669348,920,13,33,0,COMPLETE
9,9,-4736.4581058117055,0.000884742407253615,2024-05-16 13:15:33.109587,2024-05-16 13:15:41.683497,0 days 00:00:08.573910,855,8,92,0,COMPLETE
10,10,-300.27204253751694,0.0003636082213950021,2024-05-16 13:15:41.689961,2024-05-16 13:15:49.778909,0 days 00:00:08.088948,826,13,88,0,COMPLETE
11,11,-89.36304164716907,0.0001486016242088285,2024-05-16 13:15:49.781924,2024-05-16 13:15:53.029566,0 days 00:00:03.247642,165,16,27,0,COMPLETE
12,12,-4426.524596995865,0.0008596846192863201,2024-05-16 13:15:53.032472,2024-05-16 13:16:06.714282,0 days 00:00:13.681810,566,157,158,0,COMPLETE
13,13,-84132.2803994078,0.0029353619464215636,2024-05-16 13:16:06.717228,2024-05-16 13:16:16.684640,0 days 00:00:09.967412,774,32,38,0,COMPLETE
14,14,-12378.427351892675,0.0011791974511421188,2024-05-16 13:16:16.694607,2024-05-16 13:16:20.770628,0 days 00:00:04.076021,451,5,35,0,COMPLETE
15,15,-20.132260385508832,9.116232308637455e-05,2024-05-16 13:16:20.773030,2024-05-16 13:16:24.883232,0 days 00:00:04.110202,363,7,189,0,COMPLETE
16,16,-217.18478128176463,0.00030660317982308006,2024-05-16 13:16:24.892287,2024-05-16 13:16:34.044281,0 days 00:00:09.151994,906,3,14,0,COMPLETE
17,17,-1017.7733303986321,0.0005154321974008244,2024-05-16 13:16:34.048952,2024-05-16 13:16:48.148408,0 days 00:00:14.099456,835,98,115,0,COMPLETE
18,18,-205.04726165205653,0.00028594852757552977,2024-05-16 13:16:48.150317,2024-05-16 13:16:54.326110,0 days 00:00:06.175793,555,16,62,0,COMPLETE
19,19,-4.28895617698341,4.450517847204267e-05,2024-05-16 13:16:54.329159,2024-05-16 13:16:56.556364,0 days 00:00:02.227205,6,1,3,0,COMPLETE
20,20,-100.88511812848165,0.00020604843781856023,2024-05-16 13:16:56.557587,2024-05-16 13:17:04.442513,0 days 00:00:07.884926,582,58,61,0,COMPLETE
21,21,-586.7132951893593,0.0003705587891385718,2024-05-16 13:17:04.443912,2024-05-16 13:17:17.966472,0 days 00:00:13.522560,512,148,161,0,COMPLETE
22,22,-68639.43074254664,0.0036082800599583514,2024-05-16 13:17:17.970111,2024-05-16 13:17:31.652402,0 days 00:00:13.682291,832,95,165,0,COMPLETE
23,23,-206.24427511067216,0.00025868010586947677,2024-05-16 13:17:31.660022,2024-05-16 13:17:42.607816,0 days 00:00:10.947794,596,111,189,0,COMPLETE
24,24,-2404.133752385941,0.0005889395432009763,2024-05-16 13:17:42.613238,2024-05-16 13:17:46.578133,0 days 00:00:03.964895,437,2,3,0,COMPLETE
25,25,-1780.3905055092196,0.0007063859486193157,2024-05-16 13:17:46.580441,2024-05-16 13:17:57.924872,0 days 00:00:11.344431,752,37,153,0,COMPLETE
26,26,-178.66405212642718,0.0002614942369926884,2024-05-16 13:17:57.939004,2024-05-16 13:18:02.850422,0 days 00:00:04.911418,573,3,139,0,COMPLETE
27,27,-1253.1861930288046,0.0006040212645832619,2024-05-16 13:18:02.852005,2024-05-16 13:18:12.450189,0 days 00:00:09.598184,966,42,97,0,COMPLETE
28,28,-938.3257767769071,0.00048505530932042607,2024-05-16 13:18:12.452319,2024-05-16 13:18:19.539648,0 days 00:00:07.087329,675,15,23,0,COMPLETE
29,29,-11402.817159686585,0.0013015405828582104,2024-05-16 13:18:19.543822,2024-05-16 13:18:28.261152,0 days 00:00:08.717330,758,4,9,0,COMPLETE
30,30,-12715.668974650036,0.0018213750071751403,2024-05-16 13:18:28.264199,2024-05-16 13:18:35.250402,0 days 00:00:06.986203,451,63,131,0,COMPLETE
31,31,-26917.832431592902,0.0020317703547689005,2024-05-16 13:18:35.252979,2024-05-16 13:18:40.423960,0 days 00:00:05.170981,633,5,28,0,COMPLETE
32,32,-15675.96905867802,0.0013544448909140372,2024-05-16 13:18:40.435813,2024-05-16 13:18:44.503483,0 days 00:00:04.067670,426,1,192,0,COMPLETE
33,33,-57.94537482743755,0.00014535432248087262,2024-05-16 13:18:44.514546,2024-05-16 13:18:50.292977,0 days 00:00:05.778431,344,56,101,0,COMPLETE
34,34,-31001.559385506047,0.002097612650466999,2024-05-16 13:18:50.295009,2024-05-16 13:18:54.299098,0 days 00:00:04.004089,454,4,18,0,COMPLETE
35,35,-238.84902500134203,0.00021503366177432547,2024-05-16 13:18:54.312051,2024-05-16 13:19:02.462145,0 days 00:00:08.150094,197,94,198,0,COMPLETE
36,36,-281.92867755612986,0.0003417243334798408,2024-05-16 13:19:02.470920,2024-05-16 13:19:08.909417,0 days 00:00:06.438497,682,19,24,0,COMPLETE
37,37,-24488.805554395654,0.0016540761090286433,2024-05-16 13:19:08.914903,2024-05-16 13:19:17.876362,0 days 00:00:08.961459,724,3,8,0,COMPLETE
38,38,-1166.380905334141,0.00040029753490679863,2024-05-16 13:19:17.879404,2024-05-16 13:19:22.970741,0 days 00:00:05.091337,299,27,121,0,COMPLETE
39,39,-106.4463115122926,0.0001658738495851166,2024-05-16 13:19:22.982566,2024-05-16 13:19:26.250661,0 days 00:00:03.268095,279,6,63,0,COMPLETE
