,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
0,0,-1.3494960584980837,0.18642062298440276,2024-05-10 16:35:32.494391,2024-05-10 16:35:34.555566,0 days 00:00:02.061175,31,51,0,COMPLETE
1,1,-1.2493603710140888,0.1818023347057529,2024-05-10 16:35:34.571777,2024-05-10 16:35:37.337463,0 days 00:00:02.765686,63,35,0,COMPLETE
2,2,-1.4748373144227807,0.178774201134914,2024-05-10 16:35:37.348069,2024-05-10 16:35:38.487025,0 days 00:00:01.138956,22,74,0,COMPLETE
3,3,-0.7122580329065646,0.14351439025225798,2024-05-10 16:35:38.492706,2024-05-10 16:35:41.170014,0 days 00:00:02.677308,11,72,0,COMPLETE
4,4,-0.36006559375274894,0.13480092306374067,2024-05-10 16:35:41.174004,2024-05-10 16:35:42.155176,0 days 00:00:00.981172,15,116,0,COMPLETE
5,5,-2.161140664980043,0.20503819039130916,2024-05-10 16:35:42.159084,2024-05-10 16:35:46.129579,0 days 00:00:03.970495,55,35,0,COMPLETE
6,6,-0.2758272146456641,0.11043234647232221,2024-05-10 16:35:46.134566,2024-05-10 16:35:47.139805,0 days 00:00:01.005239,3,83,0,COMPLETE
7,7,-2.4919526600793493,0.22389978206635344,2024-05-10 16:35:47.144267,2024-05-10 16:35:48.870110,0 days 00:00:01.725843,27,24,0,COMPLETE
8,8,-0.9566069482006675,0.15940202554757318,2024-05-10 16:35:48.876842,2024-05-10 16:35:51.749741,0 days 00:00:02.872899,12,40,0,COMPLETE
9,9,-1.1771596576195529,0.16785594322458247,2024-05-10 16:35:51.749741,2024-05-10 16:35:54.132256,0 days 00:00:02.382515,73,134,0,COMPLETE
10,10,-0.9599743465760738,0.17133083107042243,2024-05-10 16:35:54.136246,2024-05-10 16:35:55.320079,0 days 00:00:01.183833,25,181,0,COMPLETE
11,11,-1.0975114877876238,0.1728892567483537,2024-05-10 16:35:55.329618,2024-05-10 16:36:00.850879,0 days 00:00:05.521261,63,76,0,COMPLETE
12,12,-0.9257710172889688,0.15794039638179613,2024-05-10 16:36:00.854853,2024-05-10 16:36:04.703926,0 days 00:00:03.849073,41,11,0,COMPLETE
13,13,-0.9118834133677829,0.16407966277068486,2024-05-10 16:36:04.708851,2024-05-10 16:36:05.777641,0 days 00:00:01.068790,25,99,0,COMPLETE
14,14,-1.6230766639235363,0.19110391855236647,2024-05-10 16:36:05.780633,2024-05-10 16:36:09.856472,0 days 00:00:04.075839,78,124,0,COMPLETE
15,15,-1.8263815554672203,0.19542086180496626,2024-05-10 16:36:09.874435,2024-05-10 16:36:17.588973,0 days 00:00:07.714538,28,194,0,COMPLETE
