,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_window_length,system_attrs_nsga2:generation,state
0,0,-21.439081212789482,9.479624306283886e-05,2024-05-16 12:30:03.030628,2024-05-16 12:30:05.258536,0 days 00:00:02.227908,64,27,0,COMPLETE
1,1,-28.064626488075703,0.00010726813859841052,2024-05-16 12:30:05.260527,2024-05-16 12:30:07.529380,0 days 00:00:02.268853,76,213,0,COMPLETE
2,2,-19.327803964264042,9.090079577031359e-05,2024-05-16 12:30:07.536249,2024-05-16 12:30:09.778488,0 days 00:00:02.242239,52,109,0,COMPLETE
3,3,-1091.2336383254165,0.0003812155356488319,2024-05-16 12:30:09.781680,2024-05-16 12:30:12.122928,0 days 00:00:02.341248,76,143,0,COMPLETE
4,4,-6.8646172942914685,5.607124943448951e-05,2024-05-16 12:30:12.123946,2024-05-16 12:30:14.509607,0 days 00:00:02.385661,29,52,0,COMPLETE
5,5,-19.794867768788784,8.684145324508513e-05,2024-05-16 12:30:14.513944,2024-05-16 12:30:17.215836,0 days 00:00:02.701892,60,175,0,COMPLETE
6,6,-9.277151329257737,6.396477227283584e-05,2024-05-16 12:30:17.219298,2024-05-16 12:30:19.727198,0 days 00:00:02.507900,30,56,0,COMPLETE
7,7,-22.89937419827349,9.278230163166224e-05,2024-05-16 12:30:19.728047,2024-05-16 12:30:22.063295,0 days 00:00:02.335248,43,129,0,COMPLETE
8,8,-4.226189140244309,4.17985221892191e-05,2024-05-16 12:30:22.064386,2024-05-16 12:30:24.220997,0 days 00:00:02.156611,15,19,0,COMPLETE
9,9,-4.341992448052878,4.498981023220626e-05,2024-05-16 12:30:24.222992,2024-05-16 12:30:26.254385,0 days 00:00:02.031393,7,211,0,COMPLETE
10,10,-20.056857855789016,9.409879405240504e-05,2024-05-16 12:30:26.263640,2024-05-16 12:30:28.543529,0 days 00:00:02.279889,66,75,0,COMPLETE
11,11,-17.317095858062366,8.468100687402073e-05,2024-05-16 12:30:28.544977,2024-05-16 12:30:30.969017,0 days 00:00:02.424040,44,169,0,COMPLETE
12,12,-16.15386802844632,8.129203084736098e-05,2024-05-16 12:30:30.984854,2024-05-16 12:30:33.750286,0 days 00:00:02.765432,59,72,0,COMPLETE
13,13,-19.80200964625353,9.460203479642387e-05,2024-05-16 12:30:33.763684,2024-05-16 12:30:36.390018,0 days 00:00:02.626334,73,189,0,COMPLETE
14,14,-9.469111813697678,6.582848618807088e-05,2024-05-16 12:30:36.395758,2024-05-16 12:30:38.797318,0 days 00:00:02.401560,34,143,0,COMPLETE
15,15,-4.600864530324788,4.5808866172345985e-05,2024-05-16 12:30:38.799571,2024-05-16 12:30:40.897346,0 days 00:00:02.097775,18,174,0,COMPLETE
16,16,-7.62681876542148,5.869013868562104e-05,2024-05-16 12:30:40.905172,2024-05-16 12:30:42.916253,0 days 00:00:02.011081,26,67,0,COMPLETE
17,17,-44.804106077117,0.00012676082247269955,2024-05-16 12:30:42.918264,2024-05-16 12:30:45.292068,0 days 00:00:02.373804,90,47,0,COMPLETE
18,18,-9290.191737081506,0.0009213424243695353,2024-05-16 12:30:45.294416,2024-05-16 12:30:48.069550,0 days 00:00:02.775134,92,117,0,COMPLETE
19,19,-4.797384931673181,4.6965619725957734e-05,2024-05-16 12:30:48.076196,2024-05-16 12:30:50.472463,0 days 00:00:02.396267,18,116,0,COMPLETE
20,20,-309.1124819180614,0.00023049670728780779,2024-05-16 12:30:50.473935,2024-05-16 12:30:52.949032,0 days 00:00:02.475097,65,189,0,COMPLETE
21,21,-4.304035442739812,4.4783818609632034e-05,2024-05-16 12:30:52.951038,2024-05-16 12:30:54.859133,0 days 00:00:01.908095,6,56,0,COMPLETE
22,22,-4.590142762481937,4.5951471243464594e-05,2024-05-16 12:30:54.860585,2024-05-16 12:30:56.640472,0 days 00:00:01.779887,5,27,0,COMPLETE
23,23,-5.994242387662827,4.655640259087696e-05,2024-05-16 12:30:56.647626,2024-05-16 12:30:58.705659,0 days 00:00:02.058033,45,91,0,COMPLETE
24,24,-19.718096399059707,9.221891151908495e-05,2024-05-16 12:30:58.717171,2024-05-16 12:31:01.427358,0 days 00:00:02.710187,74,124,0,COMPLETE
25,25,-26.07491132363405,0.00010712702681493079,2024-05-16 12:31:01.428924,2024-05-16 12:31:03.869162,0 days 00:00:02.440238,83,28,0,COMPLETE
26,26,-8.41246453018154,6.0222547393768985e-05,2024-05-16 12:31:03.871157,2024-05-16 12:31:06.360741,0 days 00:00:02.489584,33,67,0,COMPLETE
27,27,-19.912707048039454,9.363354554523757e-05,2024-05-16 12:31:06.361796,2024-05-16 12:31:08.921894,0 days 00:00:02.560098,78,158,0,COMPLETE
28,28,-4.959711890821502,4.7111217858580856e-05,2024-05-16 12:31:08.923321,2024-05-16 12:31:11.539054,0 days 00:00:02.615733,18,8,0,COMPLETE
29,29,-7.134269939250915,5.545620172990075e-05,2024-05-16 12:31:11.541048,2024-05-16 12:31:13.771604,0 days 00:00:02.230556,23,54,0,COMPLETE
30,30,-4.687930649220062,4.632306942175037e-05,2024-05-16 12:31:13.772794,2024-05-16 12:31:15.823794,0 days 00:00:02.051000,5,168,0,COMPLETE
31,31,-18.059900493641145,8.505224863251487e-05,2024-05-16 12:31:15.824873,2024-05-16 12:31:18.792242,0 days 00:00:02.967369,75,15,0,COMPLETE
32,32,-16.442380925879693,8.18006161175563e-05,2024-05-16 12:31:18.794133,2024-05-16 12:31:22.058505,0 days 00:00:03.264372,45,203,0,COMPLETE
33,33,-17.3937879938123,8.33866191501768e-05,2024-05-16 12:31:22.061632,2024-05-16 12:31:24.846428,0 days 00:00:02.784796,99,34,0,COMPLETE
34,34,-20.844905357978725,9.62316066054984e-05,2024-05-16 12:31:24.848478,2024-05-16 12:31:26.916907,0 days 00:00:02.068429,65,187,0,COMPLETE
35,35,-22.19178318109055,9.329864738941474e-05,2024-05-16 12:31:26.923617,2024-05-16 12:31:29.613980,0 days 00:00:02.690363,44,95,0,COMPLETE
36,36,-89.12120125927353,0.00014390343560614143,2024-05-16 12:31:29.626240,2024-05-16 12:31:32.085042,0 days 00:00:02.458802,95,90,0,COMPLETE
37,37,-4.90554459416513,4.717826018547931e-05,2024-05-16 12:31:32.090137,2024-05-16 12:31:33.930191,0 days 00:00:01.840054,3,165,0,COMPLETE
38,38,-13.651983015551014,7.636967416337333e-05,2024-05-16 12:31:33.942964,2024-05-16 12:31:35.978173,0 days 00:00:02.035209,56,94,0,COMPLETE
39,39,-9.03928389760598,6.337534637298187e-05,2024-05-16 12:31:35.991393,2024-05-16 12:31:38.089549,0 days 00:00:02.098156,28,213,0,COMPLETE
40,40,-5.3826207566572775,4.905242933867368e-05,2024-05-16 12:31:38.102023,2024-05-16 12:31:39.988846,0 days 00:00:01.886823,18,177,0,COMPLETE
